#,Category,Number of Outlet,Remarks,Group Name/Voucher Name,Length,Merchant Name (Tag),Redemption Type  (Tag),Category,Voucher Type,Require daily cap?,Daily Cap Quantity,Require per user limit?,Per user limit Quantity,Total # of Codes,Campaign Start Date,Campaign End Date,Voucher Expiry Date,Promo Code,Description in Goods,Terms and Conditions in Goods,internal url,CRM Offer Name (Prepaid),CRM Offer Name (Postpaid),CRM Offer ID (Postpaid),CRM Offer ID (Postpaid),In App Thumbnail ,,
,,No of Outlets,,"Appear as the title of the rewards in Rewards Section
Not more than 43 characters. To Appear in MyRewards",,,,Category,,"only allow x number of ""get reward""",,only allow X time per user,,total code for promo period,MM-DD-YYYY HH:MM,MM-DD-YYYY HH:MM,MM-DD-YYYY HH:MM,,This can be as descriptive as you want,standard T&C to be included,Do we don’t allow bringing user to external party at the moment.,Applicable for Superdeals only. ,Applicable for Superdeals only. ,Applicable for Superdeals only. ,Applicable for Superdeals only. ,Key in Y if partner provide the thumbnail .,,
66,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Urbano e Fresco: Enjoy 25% off,30,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 25% off Italian pizzas, pastas, snacks, desserts & more at Urbano e Fresco with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for “Urbano e Fresco” at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: F-LG-03A Block F, Neo Damansara, Damansara Perdana, 47820 Petaling Jaya, Selangor","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
67,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Croutons: Enjoy 30% off,23,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 30% off scrumptious international gourmet at Croutons with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for “Croutons” at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: No.23, Jalan Dagang SB 4/3, Taman Sungai Besi Indah, 43300 Seri Kembangan, Selangor","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
68,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Delhi Royale: Enjoy 20% off,27,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 20% off authentic Indian cuisine at Delhi Royale with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Delhi Royale” at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: 33, Jalan Yap Kwan Seng, 50450 Kuala Lumpur
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
69,"Monthly Rewards
",2,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",VCR: Enjoy 30% off,18,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 30% off polenta shroom, portobello mushroom quiche, creamy cakes & filtered coffee at VCR Café with KindMeal.my App
","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""VCR"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: 
• Outlet 1: 2, Jalan Galloway, 50150 Kuala Lumpur
• Outlet 2: 31, Jalan Telawi 3, Bangsar Baru, 59100 Bangsar, Kuala Lumpur
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
70,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Monte's Bistro: 20% off,23,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 20% off comfort food, snacks and desserts at Monte's Bistro with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Monte's” at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: Lot F-112, Level 1, Bangsar Shopping Centre, Jalan Maarof, 59000 Bangsar, Kuala Lumpur
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
71,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Big Hug Burger: 30% off,23,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 30% off burgers, pasta & snacks at Big Hug Burger with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Big Hug Burger"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: CT-G-03, Subang Square Corporate Tower, Jalan SS15/4G, 47500 Subang Jaya, Selangor","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
72,"Monthly Rewards
",2,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Salad Atelier: Get 20% off,26,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 20% off healthy salads & sandwiches at Salad Atelier with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Salad Atelier"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: 
• Outlet 1: Ground Floor, The Weld, 76 Jalan Raja Chulan, 50200 Kuala Lumpur
• Outlet 2: Lot LC-07, Intermark Mall, 57000 Jalan Tun Razak, Kuala Lumpur
More outlet details at http://KindMeal.my/SaladAtelier/
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
73,"Monthly Rewards
",2,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Jamaica Blue: 20% off,21,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 20% off award-winning coffee, mueslis, breakfasts & smoothies at Jamaica Blue with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Jamaica Blue"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address:
• Outlet 1: Mid Valley Mega Mall, Level 1, South Court, Lingkaran Syed Putra, 59200 Kuala Lumpur
• Outlet 2: Setia City Mall, LG – 12, Persiaran Setia Dagang, Setia Alam, 40170 Shah Alam, Selangor
• More outlet details at http://KindMeal.my/JamaicaBlue/
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
74,"Monthly Rewards
",2,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Medifoods: 30% off,18,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 30% off healthy, organic local delights & Western meals at Medifoods with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Medifoods"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: 
• Outlet 1: No. 5, Jalan SS 18/6, Subang Jaya, 47500 Petaling Jaya, Selangor
• Outlet 2: 127, Jalan Aminuddin Baki, 60000 Taman Tun, Kuala Lumpur
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
75,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",5.1 Café Gallery: Get 30% off,29,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 30% off pasta, pizza, snacks & desserts at retro-vintage 5.1 Café Gallery with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""5.1 Cafe Gallery"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: No 11-1, Jalan Radin Bagus 5, Sri Petaling, 57000 Kuala Lumpur
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
76,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Café Etc: Get 25% off,21,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 25% off western meals, snacks & roasted coffees at Café Etc with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Cafe Etc"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: No. 198, Jalan Tun H.S.Lee, 52000 Kuala Lumpur
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
77,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Coconut House: Get 20% off,26,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 20% off authentic wood-fire pizza & Italian cuisine at Coconut House with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Coconut House"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: D-9-G, Block D, Jaya One, Jalan Universiti, 46200 Petaling Jaya, Selangor
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
78,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Dining Bowl: Get 25% off,24,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 25% off Asian delicacies at Dining Bowl with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Dining Bowl"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: No. 66 Jalan Hujan Rahmat 2, 58200 Kuala Lumpur
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
79,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Grab Café: Get 25% off,22,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 25% off sandwiches & pastries at Grab Cafe with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Grab Cafe"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: Unit 1-5, Ground Floor Menara UOA Bangsar, No 5 Bandar 1, 59000 Bangsar Utama, Kuala Lumpur
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
80,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Juve Wellness: Get 25% off,26,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 25% off healthy, nutritious meals at Juve Wellness with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Juve Wellness"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: No 5A (1st Floor), Jalan Kenari 4, Bandar Puchong Jaya, 47100 Puchong, Selangor
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
81,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Mi1 Station: Get 25% off,24,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 25% off authentic Malaysian cuisine featuring traditional recipes at Mi1 Station with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Mi1 Station"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: No.36, Jalan Sri Utara 3/3C Off Jalan Ipoh, 68100 Kuala Lumpur
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
82,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Simply Green Salad: Get 25% off,31,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 25% off fresh, healthy salads at Simply Green Salad with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for “Simply Green Salad"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: The Gardens Mall, LG-K29, Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
83,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Black Cat Café: Get 25% off,27,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 25% off Indonesian, Italian & local flavours at Black Cat Café with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Black Cat Cafe” at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: B-00-11 Viva Residency, Jalan Suppiah Pillay, 2nd mile Jalan Ipoh, 51200 Kuala Lumpur","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
84,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",The Honest Treat: Get 30% off,29,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 30% off raw, vegan cakes & ice-cream at The Honest Treat with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""The Honest Treat"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: 22, Jalan Sri Hartamas 8, 50480 Hartamas, Kuala Lumpur
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
85,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",U Pizzeria: Get 25% off,23,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 25% off authentic, freshly baked Italian pizzas at U Pizzeria with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""U Pizzeria” at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: No.23, Jalan USJ21/11, Subang Jaya, 47620 Subang Jaya, Selangor
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
86,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",WichDay Cafe: Get 25% off,25,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 25% off sandwiches, toasts, pastas & desserts at WichDay with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""WichDay"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: No.195, Jalan Sarjana, Taman Connaught, 56000 Cheras, Kuala Lumpur
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
